New log started
Initializing OpenCL environement...
1 - Motion: 1252 589
1 - Motion: 1251 588
1 - Motion: 1250 588
1 - Motion: 1250 587
1 - Motion: 1249 587
1 - Motion: 1249 586
1 - Motion: 1248 586
1 - Motion: 1248 585
1 - Motion: 1247 585
1 - Motion: 1247 584
1 - Motion: 1246 584
1 - Motion: 1245 583
1 - Motion: 1243 581
1 - Motion: 1242 579
1 - Motion: 1240 579
1 - Motion: 1239 578
1 - Motion: 1237 576
1 - Motion: 1236 575
1 - Motion: 1234 573
1 - Motion: 1232 571
1 - Motion: 1229 570
1 - Motion: 1228 568
1 - Motion: 1225 566
1 - Motion: 1222 564
1 - Motion: 1220 562
1 - Motion: 1217 560
1 - Motion: 1214 558
1 - Motion: 1211 558
1 - Motion: 1209 556
1 - Motion: 1206 556
1 - Motion: 1203 554
1 - Motion: 1201 554
1 - Motion: 1198 552
1 - Motion: 1196 552
1 - Motion: 1193 552
1 - Motion: 1191 550
1 - Motion: 1189 550
1 - Motion: 1187 550
1 - Motion: 1185 550
1 - Motion: 1183 550
1 - Motion: 1181 550
1 - Motion: 1179 550
1 - Motion: 1177 550
1 - Motion: 1176 550
1 - Motion: 1176 549
1 - Motion: 1175 549
1 - Motion: 1175 550
1 - Motion: 1176 550
1 - Motion: 1177 552
1 - Motion: 1180 556
1 - Motion: 1182 561
1 - Motion: 1185 566
1 - Motion: 1188 571
1 - Motion: 1193 576
1 - Motion: 1198 581
1 - Motion: 1203 586
1 - Motion: 1208 591
1 - Motion: 1213 598
1 - Motion: 1218 605
1 - Motion: 1223 612
1 - Motion: 1230 619
1 - Motion: 1237 626
1 - Motion: 1244 633
1 - Motion: 1251 640
1 - Motion: 1258 647
1 - Motion: 1265 654
1 - Motion: 1272 661
1 - Motion: 1279 668
1 - Motion: 1286 675
1 - Motion: 1293 682
1 - Motion: 1300 689
1 - Motion: 1309 696
1 - Motion: 1318 703
1 - Motion: 1327 710
1 - Motion: 1334 717
1 - Motion: 1341 724
1 - Motion: 1348 731
1 - Motion: 1355 738
1 - Motion: 1362 743
1 - Motion: 1369 748
1 - Motion: 1376 753
1 - Motion: 1383 758
1 - Motion: 1390 763
1 - Motion: 1397 768
1 - Motion: 1404 773
1 - Motion: 1411 778
1 - Motion: 1418 783
1 - Motion: 1425 788
1 - Motion: 1432 793
1 - Motion: 1439 798
1 - Motion: 1446 803
1 - Motion: 1453 808
1 - Motion: 1458 813
1 - Motion: 1463 815
1 - Motion: 1468 818
1 - Motion: 1473 821
1 - Motion: 1478 824
1 - Motion: 1483 826
1 - Motion: 1488 829
1 - Motion: 1493 831
1 - Motion: 1498 833
1 - Motion: 1503 835
1 - Motion: 1508 837
1 - Motion: 1510 839
1 - Motion: 1513 841
1 - Motion: 1516 843
1 - Motion: 1518 845
1 - Motion: 1520 845
1 - Motion: 1522 847
1 - Motion: 1524 849
1 - Motion: 1526 851
1 - Motion: 1528 851
1 - Motion: 1530 853
1 - Motion: 1532 855
1 - Motion: 1533 855
1 - Motion: 1535 855
1 - Motion: 1535 856
1 - Motion: 1534 855
1 - Motion: 1533 855
1 - Motion: 1533 854
1 - Motion: 1531 853
1 - Motion: 1530 851
1 - Motion: 1528 849
1 - Motion: 1526 846
1 - Motion: 1524 844
1 - Motion: 1521 841
1 - Motion: 1519 839
1 - Motion: 1517 836
